img_filename,category
3/100003.jpg,software
3/100023.jpg,game
3/100033.jpg,electronics
3/100053.jpg,software
3/100063.jpg,game
3/100073.jpg,game
3/100083.jpg,game
3/100103.jpg,game
3/100113.jpg,software
3/100123.jpg,soda
3/10013.jpg,alcohol
3/100153.jpg,sports
3/100163.jpg,game
3/100173.jpg,electronics
3/100193.jpg,other_service
3/100203.jpg,game
3/10023.jpg,alcohol
3/100273.jpg,soda
3/100293.jpg,healthcare
3/100373.jpg,media
3/100383.jpg,cleaning
3/10043.jpg,alcohol
3/100493.jpg,electronics
3/10053.jpg,alcohol
3/100563.jpg,electronics
3/100583.jpg,electronics
3/100613.jpg,electronics
3/10063.jpg,alcohol
3/100643.jpg,electronics
3/100663.jpg,electronics
3/100693.jpg,electronics
3/100713.jpg,electronics
3/10073.jpg,alcohol
3/100753.jpg,electronics
3/100783.jpg,cars
3/100823.jpg,electronics
3/100853.jpg,soda
3/100863.jpg,soda
3/100873.jpg,soda
3/100893.jpg,soda
3/100903.jpg,soda
3/10093.jpg,alcohol
3/100943.jpg,soda
3/100953.jpg,soda
3/100983.jpg,soda
3/101013.jpg,soda
3/10103.jpg,alcohol
3/101043.jpg,soda
3/101073.jpg,soda
3/101123.jpg,soda
3/101133.jpg,soda
3/101143.jpg,soda
3/101223.jpg,soda
3/10123.jpg,alcohol
3/10133.jpg,alcohol
3/101383.jpg,soda
3/10143.jpg,alcohol
3/101473.jpg,soda
3/101503.jpg,soda
3/101523.jpg,soda
3/10153.jpg,alcohol
3/101593.jpg,soda
3/101613.jpg,restaurant
3/10163.jpg,alcohol
3/101653.jpg,seasoning
3/101673.jpg,seasoning
3/101693.jpg,seasoning
3/101703.jpg,clothing
3/101723.jpg,seasoning
3/10173.jpg,alcohol
3/101793.jpg,seasoning
3/101823.jpg,seasoning
3/10183.jpg,alcohol
3/101883.jpg,shopping
3/10193.jpg,alcohol
3/101943.jpg,seasoning
3/101983.jpg,seasoning
3/102003.jpg,seasoning
3/10203.jpg,alcohol
3/102063.jpg,seasoning
3/102113.jpg,chips
3/102123.jpg,chips
3/102133.jpg,chips
3/102143.jpg,chips
3/102153.jpg,chips
3/102163.jpg,chips
3/102173.jpg,chips
3/102183.jpg,chips
3/102193.jpg,chocolate
3/102203.jpg,shopping
3/102213.jpg,beauty
3/102223.jpg,chocolate
3/10223.jpg,alcohol
3/102233.jpg,chocolate
3/102243.jpg,chocolate
3/102253.jpg,media
3/102283.jpg,chips
3/102293.jpg,chips
3/102303.jpg,chocolate
3/102313.jpg,chocolate
3/102353.jpg,chocolate
3/102363.jpg,financial
3/102393.jpg,shopping
3/102403.jpg,shopping
3/102413.jpg,chocolate
3/10243.jpg,alcohol
3/102443.jpg,soda
3/102453.jpg,game
3/102473.jpg,cars
3/102483.jpg,unclear
3/102503.jpg,chocolate
3/102513.jpg,chocolate
3/102523.jpg,other_service
3/10253.jpg,alcohol
3/102533.jpg,other_service
3/10263.jpg,alcohol
3/102733.jpg,media
3/102783.jpg,other_service
3/102803.jpg,other_service
3/102823.jpg,baby
3/10283.jpg,alcohol
3/102853.jpg,healthcare
3/102883.jpg,environment
3/102893.jpg,chips
3/102903.jpg,other_service
3/102923.jpg,chips
3/10293.jpg,alcohol
3/102933.jpg,environment
3/102943.jpg,environment
3/102963.jpg,beauty
3/102993.jpg,media
3/103003.jpg,soda
3/103013.jpg,soda
3/10303.jpg,cars
3/103033.jpg,animal_right
3/103043.jpg,environment
3/103063.jpg,clothing
3/103083.jpg,clothing
3/103093.jpg,travel
3/103133.jpg,environment
3/103143.jpg,environment
3/103153.jpg,home_improvement
3/103173.jpg,environment
3/103183.jpg,beauty
3/103203.jpg,beauty
3/103223.jpg,soda
3/10323.jpg,alcohol
3/103233.jpg,smoking_alcohol_abuse
3/103253.jpg,environment
3/10333.jpg,alcohol
3/103353.jpg,chips
3/103383.jpg,charities
3/103393.jpg,chocolate
3/103403.jpg,chocolate
3/103423.jpg,chocolate
3/10343.jpg,alcohol
3/103493.jpg,soda
3/103533.jpg,alcohol
3/103543.jpg,chocolate
3/103593.jpg,chocolate
3/103613.jpg,chocolate
3/103643.jpg,chocolate
3/103653.jpg,smoking_alcohol_abuse
3/103693.jpg,chocolate
